"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"c_0001";"ALTER";"GESCHLECHT";"BILDUNG";"LAND";"LAND_2";"BLUTSPENDEVERHALTEN";"BLUTSPENDEORGANISATION";"BLUTSPENDEORGANISATION_2";"AMOTIVATION_1";"AMOTIVATION_2";"AMOTIVATION_3";"EXTERNAL_REGULATION_1";"EXTERNAL_REGULATION_2";"EXTERNAL_REGULATION_3";"INTROJECTED_REGULATION_1";"INTROJECTED_REGULATION_2";"ATTENTION_CHECK";"INTROJECTED_REGULATION_3";"IDENTIFIED_REGUALTION_1";"IDENTIFIED_REGUALTION_2";"IDENTIFIED_REGUALTION_3";"INTEGRATED_REGULATION_1";"INTEGRATED_REGULATION_2";"INTEGRATED_REGULATION_3";"INTRINSIC_REGUALTION_1";"INTRINSIC_REGUALTION_2";"INTRINSIC_REGUALTION_3";"INTENTION_1";"INTENTION_2";"INTENTION_3";"browser";"referer";"device_type";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts6889058";"rts6889146";"rts6889149";"rts6891057";"rts6891082";"rts6891085";"rts6891089";"rts6891115"
"1632";"0";"0";"31";"6888322";"-77";"152";"2";"28";"1";"5";"1";"-99";"2";"-77";"-66";"5";"6";"7";"1";"1";"1";"4";"4";"1";"1";"5";"7";"7";"1";"4";"7";"1";"1";"1";"1";"1";"1";"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 Instagram 322.1.1.25.88 (iPhone14,6; iOS 17_3_1; de_DE; de; scale=2.00; 750x1334; 575967800) NW/3";"https://l.instagram.com/";"0";"0";"-66";"0";"6889058,6889058,6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"0";"0";"0";"-77";"-77";"25ef8a5a3a20a81774f2ee1ef113ba81";"1";"0";"1710760203";"2024-03-18 11:10:03";"2024-03-18 11:12:35";"0000-00-00 00:00:00";"35";"0";"125";"128";"0";"135";"0";"142"
"1635";"0";"0";"31";"6888322";"-77";"150";"1";"22";"1";"4";"1";"-99";"2";"-77";"-66";"1";"4";"1";"1";"1";"1";"3";"5";"1";"5";"6";"7";"7";"2";"1";"4";"1";"1";"1";"1";"1";"1";"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 Instagram 322.1.1.25.88 (iPhone15,4; iOS 17_3_1; de_DE; de; scale=3.00; 1179x2556; 575967800) NW/3";"https://l.instagram.com/";"0";"0";"-66";"0";"6889058,6889058,6889058,6889145,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"0";"0";"0";"-77";"-77";"54d2f856760cf77c095d2874650f0b05";"1";"0";"1710760403";"2024-03-18 11:13:23";"2024-03-18 11:15:53";"0000-00-00 00:00:00";"35";"0";"101";"104";"113";"0";"0";"128"
"1637";"0";"0";"31";"6888322";"-77";"164";"2";"25";"1";"5";"1";"-99";"2";"-77";"-66";"1";"3";"1";"4";"1";"1";"3";"2";"1";"1";"5";"7";"7";"3";"1";"3";"7";"5";"1";"1";"7";"1";"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 Instagram 322.1.1.25.88 (iPhone14,5; iOS 17_3_1; de_DE; de; scale=3.00; 1170x2532; 575967800)";"https://l.instagram.com/";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"0da1d247594bca80c1c6e633376129bc";"1";"0";"1710760824";"2024-03-18 11:20:24";"2024-03-18 11:23:08";"0000-00-00 00:00:00";"14";"0";"120";"123";"0";"137";"0";"153"
"1639";"0";"0";"32";"6888322";"-77";"-1";"2";"25";"1";"6";"1";"-99";"2";"-77";"-66";"1";"3";"5";"2";"1";"3";"1";"5";"1";"7";"7";"7";"7";"5";"5";"7";"3";"5";"4";"7";"7";"7";"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"ef0a73279da908b134ed5001c734b231";"1";"0";"1710760944";"2024-03-18 11:22:24";"2024-03-18 15:45:37";"0000-00-00 00:00:00";"11";"0";"93";"96";"0";"103";"0";"15793"
"1640";"0";"0";"31";"6888322";"-77";"143";"3";"24";"2";"5";"1";"-99";"2";"-77";"-66";"2";"5";"2";"2";"2";"1";"6";"6";"1";"5";"7";"7";"7";"3";"6";"4";"3";"5";"2";"6";"7";"7";"Mozilla/5.0 (Linux; U; Android 10; de-de; Mi 9T Pro Build/QKQ1.190825.002) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/112.0.5615.136 Mobile Safari/537.36 XiaoMi/MiuiBrowser/14.4.0-gn";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"1";"1";"0";"-77";"-77";"75cad741b226e514fb90203e6b51534a";"1";"0";"1710760951";"2024-03-18 11:22:31";"2024-03-18 11:24:54";"0000-00-00 00:00:00";"13";"0";"97";"101";"0";"0";"103";"122"
"1643";"0";"0";"31";"6888322";"-77";"125";"3";"21";"1";"4";"1";"-99";"2";"-77";"-66";"3";"3";"4";"4";"3";"2";"2";"4";"1";"2";"5";"7";"7";"5";"5";"4";"2";"5";"4";"1";"1";"1";"Mozilla/5.0 (Linux; Android 14; SAMSUNG SM-G991B) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/23.0 Chrome/115.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"1";"1";"0";"-77";"-77";"ff4816bbb6f4481efcb96dd8e266ab37";"1";"0";"1710761763";"2024-03-18 11:36:03";"2024-03-18 11:38:08";"0000-00-00 00:00:00";"18";"0";"84";"86";"0";"0";"88";"104"
"1647";"0";"0";"31";"6888322";"-77";"190";"2";"53";"1";"2";"1";"-99";"2";"-77";"-66";"1";"2";"3";"1";"1";"2";"2";"2";"1";"3";"6";"6";"6";"3";"4";"3";"5";"6";"2";"6";"6";"6";"Mozilla/5.0 (Linux; Android 14; SAMSUNG SM-A336B) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/23.0 Chrome/115.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"1ca885650fcb78bfa8b79438dc9dced4";"1";"0";"1710762966";"2024-03-18 11:56:06";"2024-03-18 11:59:16";"0000-00-00 00:00:00";"22";"0";"151";"155";"0";"165";"0";"179"
"1648";"0";"0";"31";"6888322";"-77";"110";"2";"25";"1";"6";"1";"-99";"2";"-77";"-66";"6";"6";"4";"1";"1";"1";"1";"6";"1";"1";"2";"7";"7";"3";"3";"7";"1";"4";"1";"1";"1";"1";"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"1";"1";"0";"-77";"-77";"4d53b10cf1dc4e1c439c3835fbde369b";"1";"0";"1710763220";"2024-03-18 12:00:20";"2024-03-18 12:02:10";"0000-00-00 00:00:00";"14";"0";"87";"89";"0";"97";"0";"106"
"1649";"0";"0";"31";"6888322";"-77";"169";"3";"25";"1";"4";"1";"-99";"1";"1";"-99";"1";"1";"5";"1";"1";"2";"6";"7";"1";"6";"5";"6";"7";"5";"4";"6";"6";"5";"6";"7";"7";"7";"Mozilla/5.0 (Linux; Android 10; SM-G960F Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/122.0.6261.106 Mobile Safari/537.36 Instagram 322.0.0.37.95 Android (29/10; 480dpi; 1080x2076; samsung; SM-G960F; starlte; samsungexynos9810; de_DE; 575346435)";"https://l.instagram.com/";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"eaf2e6206bace45b967c0d9be24a1128";"1";"0";"1710763409";"2024-03-18 12:03:29";"2024-03-18 12:06:18";"0000-00-00 00:00:00";"15";"19";"130";"133";"0";"0";"135";"145"
"1650";"0";"0";"31";"6888322";"-77";"210";"1";"24";"1";"5";"1";"-99";"2";"-77";"-66";"1";"3";"3";"1";"1";"1";"7";"7";"1";"4";"6";"7";"7";"2";"4";"2";"1";"4";"1";"2";"4";"4";"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/20G81 Instagram 320.0.2.29.98 (iPhone12,1; iOS 16_6_1; de_DE; de; scale=2.00; 828x1792; 569998124)";"https://l.instagram.com/";"0";"0";"-66";"0";"6889058,6889058,6889058,6889145,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"5b3266fdd23c911b882ba0e91136261d";"1";"0";"1710763485";"2024-03-18 12:04:45";"2024-03-18 12:08:15";"0000-00-00 00:00:00";"50";"0";"173";"175";"191";"0";"0";"206"
"1651";"0";"0";"31";"6888322";"-77";"324";"2";"59";"2";"7";"1";"-99";"1";"1";"-99";"1";"6";"2";"1";"1";"1";"3";"2";"1";"5";"7";"7";"7";"3";"5";"3";"2";"5";"1";"3";"3";"3";"Mozilla/5.0 (iPhone; CPU iPhone OS 15_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.6 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"6e351ee9af93647c591ded9600b32881";"1";"0";"1710763881";"2024-03-18 12:11:21";"2024-03-18 12:16:45";"0000-00-00 00:00:00";"32";"40";"223";"231";"0";"246";"0";"300"
"1652";"0";"0";"31";"6888322";"-77";"225";"3";"60";"1";"6";"1";"-99";"1";"1";"-99";"1";"7";"1";"1";"1";"1";"1";"1";"1";"1";"1";"7";"7";"1";"7";"1";"7";"1";"1";"1";"1";"1";"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Mobile/15E148 Safari/604.1 (Ecosia ios@9.2.3.1367)";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"1";"1";"0";"-77";"-77";"5ad685905ee8030b2f960deb7eb9ff98";"1";"0";"1710764149";"2024-03-18 12:15:49";"2024-03-18 12:19:34";"0000-00-00 00:00:00";"88";"93";"192";"197";"0";"0";"200";"219"
"1653";"0";"0";"31";"6888322";"-77";"273";"1";"25";"1";"6";"1";"-99";"1";"3";"-99";"1";"4";"3";"4";"4";"4";"5";"5";"1";"6";"5";"7";"7";"5";"6";"5";"3";"5";"3";"6";"6";"6";"Mozilla/5.0 (Linux; Android 11; SM-G970F Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/122.0.6261.105 Mobile Safari/537.36 Instagram 322.0.0.37.95 Android (30/11; 480dpi; 1080x2020; samsung; SM-G970F; beyond0; exynos9820; de_DE; 575345927)";"https://l.instagram.com/";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"5a0ee82ea473c4985e2bdb9e253aa7ae";"1";"0";"1710764244";"2024-03-18 12:17:24";"2024-03-18 12:21:57";"0000-00-00 00:00:00";"22";"53";"199";"203";"224";"0";"0";"244"
"1654";"0";"0";"31";"6888322";"-77";"253";"3";"22";"2";"4";"3";"-99";"2";"-77";"-66";"1";"6";"2";"2";"2";"2";"5";"2";"1";"2";"6";"6";"6";"6";"2";"6";"6";"3";"3";"2";"2";"2";"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6889145,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6891152,6888322";"0";"1";"0";"-77";"-77";"2a36d920c2f719c617567221145a6ec8";"1";"0";"1710764367";"2024-03-18 12:19:27";"2024-03-18 12:23:40";"0000-00-00 00:00:00";"32";"0";"160";"162";"0";"0";"164";"248"
"1655";"0";"0";"31";"6888322";"-77";"237";"1";"28";"2";"6";"1";"-99";"1";"1";"-99";"2";"6";"2";"2";"3";"1";"5";"5";"1";"5";"5";"7";"6";"2";"7";"4";"5";"4";"2";"3";"5";"4";"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"2565f4076797d4596cf251575ed853ed";"1";"0";"1710764379";"2024-03-18 12:19:39";"2024-03-18 12:23:36";"0000-00-00 00:00:00";"23";"26";"139";"170";"194";"0";"0";"229"
"1656";"0";"0";"31";"6888322";"-77";"176";"2";"28";"1";"5";"1";"-99";"1";"1";"-99";"1";"7";"1";"5";"7";"1";"1";"1";"1";"1";"4";"7";"7";"1";"5";"4";"1";"1";"1";"5";"6";"5";"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"f96ff08e2ca626d000fa561f6f7527d4";"1";"0";"1710764556";"2024-03-18 12:22:36";"2024-03-18 12:25:32";"0000-00-00 00:00:00";"13";"21";"118";"123";"0";"131";"0";"144"
"1657";"0";"0";"31";"6888322";"-77";"274";"2";"30";"1";"5";"1";"-99";"1";"4";"Haema";"2";"4";"2";"1";"1";"1";"2";"2";"1";"3";"2";"6";"5";"4";"5";"4";"5";"2";"2";"6";"6";"6";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"https://www.surveycircle.com/";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"0";"0";"0";"-77";"-77";"06f2da3b32ddda114316f01752aaf955";"1";"0";"1710765722";"2024-03-18 12:42:02";"2024-03-18 12:46:36";"0000-00-00 00:00:00";"21";"68";"165";"169";"0";"216";"0";"231"
"1658";"0";"0";"31";"6888322";"-77";"141";"3";"20";"1";"4";"1";"-99";"2";"-77";"-66";"1";"2";"1";"1";"1";"1";"3";"5";"1";"7";"7";"7";"7";"1";"7";"5";"5";"7";"1";"7";"7";"7";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"de9a50700cb6468b7848bf31c4376ba0";"1";"0";"1710765909";"2024-03-18 12:45:09";"2024-03-18 12:47:30";"0000-00-00 00:00:00";"25";"0";"113";"115";"0";"0";"117";"135"
"1660";"0";"0";"31";"6888322";"-77";"264";"3";"21";"1";"4";"1";"-99";"2";"-77";"-66";"2";"2";"3";"3";"3";"4";"4";"6";"1";"6";"5";"7";"6";"5";"3";"5";"4";"5";"4";"7";"7";"7";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"f62a322427d40028e594d9d944e87339";"1";"0";"1710766427";"2024-03-18 12:53:47";"2024-03-18 12:58:11";"0000-00-00 00:00:00";"18";"0";"236";"238";"0";"0";"240";"252"
"1661";"0";"0";"31";"6888322";"-77";"120";"2";"24";"3";"5";"1";"-99";"2";"-77";"-66";"1";"4";"1";"1";"1";"4";"7";"7";"1";"7";"7";"7";"7";"7";"7";"7";"7";"7";"4";"1";"7";"1";"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.2 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"6889058,6889058,6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"52c9cd53226832803d75d5973094d102";"1";"0";"1710766788";"2024-03-18 12:59:48";"2024-03-18 13:01:48";"0000-00-00 00:00:00";"23";"0";"92";"95";"0";"106";"0";"116"
