"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"c_0001";"ALTER";"GESCHLECHT";"BILDUNG";"LAND";"LAND_2";"BLUTSPENDEVERHALTEN";"BLUTSPENDEORGANISATION";"BLUTSPENDEORGANISATION_2";"AMOTIVATION_1";"AMOTIVATION_2";"AMOTIVATION_3";"EXTERNAL_REGULATION_1";"EXTERNAL_REGULATION_2";"EXTERNAL_REGULATION_3";"INTROJECTED_REGULATION_1";"INTROJECTED_REGULATION_2";"ATTENTION_CHECK";"INTROJECTED_REGULATION_3";"IDENTIFIED_REGUALTION_1";"IDENTIFIED_REGUALTION_2";"IDENTIFIED_REGUALTION_3";"INTEGRATED_REGULATION_1";"INTEGRATED_REGULATION_2";"INTEGRATED_REGULATION_3";"INTRINSIC_REGUALTION_1";"INTRINSIC_REGUALTION_2";"INTRINSIC_REGUALTION_3";"INTENTION_1";"INTENTION_2";"INTENTION_3";"browser";"referer";"device_type";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts6889058";"rts6889146";"rts6889149";"rts6891057";"rts6891082";"rts6891085";"rts6891089";"rts6891115";"rts6891152"
"514";"0";"1";"31";"6888322";"-77";"0";"3";"95";"2";"5";"1";"-99";"2";"-77";"-66";"1";"5";"3";"3";"2";"7";"2";"3";"2";"5";"4";"7";"6";"2";"3";"4";"7";"5";"2";"4";"4";"2";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"e92a37efb82746f06c43d6c4aa73bd2b";"1";"0";"1709334445";"2024-03-01 23:07:25";"2024-03-01 23:07:25";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"515";"0";"1";"31";"6888322";"-77";"0";"1";"97";"4";"6";"2";"-99";"1";"1";"-99";"7";"5";"7";"7";"5";"5";"7";"5";"6";"1";"1";"4";"7";"6";"1";"3";"3";"6";"6";"5";"1";"7";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"611435086042d4002deae03f04aa8386";"1";"0";"1709334446";"2024-03-01 23:07:26";"2024-03-01 23:07:26";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"516";"0";"1";"31";"6888322";"-77";"0";"2";"59";"3";"4";"3";"-99";"2";"-77";"-66";"2";"7";"3";"7";"2";"1";"6";"6";"6";"7";"3";"5";"2";"5";"3";"7";"6";"1";"7";"3";"1";"7";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"669ea6db936712a62381d2dd043e1bf1";"1";"0";"1709334447";"2024-03-01 23:07:27";"2024-03-01 23:07:27";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"517";"0";"1";"31";"6888322";"-77";"0";"3";"35";"2";"3";"2";"-99";"3";"-77";"-66";"4";"7";"1";"1";"3";"4";"3";"5";"7";"4";"2";"2";"3";"5";"3";"6";"4";"4";"7";"2";"6";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"25fdf12180395dea3926e6f2baa7f2e9";"1";"0";"1709334448";"2024-03-01 23:07:28";"2024-03-01 23:07:28";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"518";"0";"1";"31";"6888322";"-77";"0";"2";"4";"2";"4";"3";"-99";"3";"-77";"-66";"4";"5";"2";"1";"1";"2";"6";"3";"1";"1";"5";"7";"4";"6";"6";"2";"4";"4";"5";"4";"2";"5";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"0";"0";"0";"-77";"-77";"9323916d29bc6bb0dffc4881224c1b0b";"1";"0";"1709334449";"2024-03-01 23:07:29";"2024-03-01 23:07:29";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"519";"0";"1";"31";"6888322";"-77";"0";"1";"36";"1";"3";"4";"Testtext A+T";"2";"-77";"-66";"6";"1";"3";"1";"5";"5";"1";"3";"1";"6";"7";"5";"1";"3";"1";"5";"2";"6";"6";"6";"2";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"95ea25c08cc3d2b6790f87f7a84cd1f9";"1";"0";"1709334450";"2024-03-01 23:07:30";"2024-03-01 23:07:30";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"520";"0";"1";"31";"6888322";"-77";"0";"3";"82";"3";"7";"2";"-99";"3";"-77";"-66";"3";"3";"1";"4";"4";"6";"6";"7";"5";"3";"4";"5";"3";"4";"6";"4";"3";"6";"3";"4";"2";"2";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"887a8693b08eb87298ffc0468450ea7d";"1";"0";"1709334451";"2024-03-01 23:07:31";"2024-03-01 23:07:31";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"521";"0";"1";"31";"6888322";"-77";"0";"1";"63";"4";"6";"3";"-99";"1";"3";"-99";"3";"1";"2";"7";"1";"2";"1";"6";"3";"3";"2";"1";"3";"5";"5";"6";"7";"4";"2";"5";"7";"6";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"519f49a0388ccaa4936d17b1e45a5ee7";"1";"0";"1709334452";"2024-03-01 23:07:32";"2024-03-01 23:07:32";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"522";"0";"1";"31";"6888322";"-77";"0";"2";"2";"2";"6";"2";"-99";"1";"4";"Testtext A+T";"5";"4";"6";"6";"1";"5";"2";"2";"2";"3";"7";"2";"4";"7";"2";"2";"4";"3";"5";"5";"2";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"1";"1";"0";"-77";"-77";"ba1f5bfa9cb4eac4ccfbcc20eaff240a";"1";"0";"1709334453";"2024-03-01 23:07:33";"2024-03-01 23:07:33";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"523";"0";"1";"31";"6888322";"-77";"0";"1";"39";"2";"5";"2";"-99";"2";"-77";"-66";"3";"5";"5";"1";"1";"1";"2";"4";"5";"7";"4";"6";"6";"7";"7";"2";"4";"6";"5";"5";"6";"2";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"df9ef1af9264e95e2621ad5757b4f772";"1";"0";"1709334454";"2024-03-01 23:07:34";"2024-03-01 23:07:34";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"524";"0";"1";"31";"6888322";"-77";"1";"3";"84";"4";"2";"2";"-99";"2";"-77";"-66";"2";"7";"1";"6";"2";"3";"4";"3";"7";"6";"1";"6";"5";"1";"2";"3";"2";"6";"7";"2";"2";"7";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"a6be6acf2a61b8c9604d169f140a23e8";"1";"0";"1709334455";"2024-03-01 23:07:35";"2024-03-01 23:07:36";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"525";"0";"1";"31";"6888322";"-77";"0";"2";"22";"3";"4";"3";"-99";"3";"-77";"-66";"4";"1";"3";"5";"7";"1";"7";"2";"1";"2";"6";"5";"1";"5";"2";"7";"5";"2";"5";"2";"1";"6";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"598c74e863409335dbab93c61beec152";"1";"0";"1709334457";"2024-03-01 23:07:37";"2024-03-01 23:07:37";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"526";"0";"1";"31";"6888322";"-77";"0";"3";"26";"4";"2";"1";"-99";"2";"-77";"-66";"4";"7";"4";"7";"1";"2";"6";"5";"2";"5";"1";"4";"4";"7";"6";"2";"6";"5";"1";"5";"7";"6";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"4cb8eee1e86c721b5fc6f9d894526be7";"1";"0";"1709334458";"2024-03-01 23:07:38";"2024-03-01 23:07:38";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"527";"0";"1";"31";"6888322";"-77";"0";"2";"21";"3";"5";"2";"-99";"2";"-77";"-66";"2";"3";"3";"5";"7";"3";"2";"6";"2";"4";"6";"3";"4";"5";"7";"3";"2";"2";"6";"1";"3";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"7597dc0eaff3403986493a94097d072b";"1";"0";"1709334459";"2024-03-01 23:07:39";"2024-03-01 23:07:39";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"528";"0";"1";"31";"6888322";"-77";"0";"1";"37";"2";"4";"2";"-99";"2";"-77";"-66";"6";"1";"4";"2";"1";"5";"3";"1";"7";"6";"3";"6";"1";"6";"6";"1";"2";"6";"6";"6";"4";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"499045d8754844ac8e4af1b8f3bc4054";"1";"0";"1709334460";"2024-03-01 23:07:40";"2024-03-01 23:07:40";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"529";"0";"1";"31";"6888322";"-77";"0";"3";"28";"1";"1";"4";"Testtext A+T";"2";"-77";"-66";"6";"6";"3";"6";"5";"1";"4";"2";"6";"6";"5";"3";"1";"7";"3";"7";"7";"4";"7";"2";"4";"7";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"c46aad8965c4dd03d26b2e0504404cfc";"1";"0";"1709334461";"2024-03-01 23:07:41";"2024-03-01 23:07:41";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"530";"0";"1";"31";"6888322";"-77";"0";"1";"67";"3";"6";"4";"Testtext A+T";"3";"-77";"-66";"2";"4";"7";"5";"6";"1";"1";"6";"7";"4";"6";"1";"1";"5";"4";"4";"3";"4";"4";"7";"4";"4";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"0";"0";"0";"-77";"-77";"d832d4c4589f7a7d16a76eb2f40159ac";"1";"0";"1709334462";"2024-03-01 23:07:42";"2024-03-01 23:07:42";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"531";"0";"1";"31";"6888322";"-77";"0";"2";"81";"3";"6";"2";"-99";"3";"-77";"-66";"3";"5";"2";"2";"2";"4";"4";"7";"4";"2";"6";"5";"4";"3";"5";"3";"6";"5";"1";"2";"4";"2";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"1";"1";"0";"-77";"-77";"8bd06a9b938f835a0ef4dea271e7fea0";"1";"0";"1709334463";"2024-03-01 23:07:43";"2024-03-01 23:07:43";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"532";"0";"1";"31";"6888322";"-77";"0";"3";"81";"2";"7";"1";"-99";"3";"-77";"-66";"6";"4";"7";"2";"2";"5";"6";"6";"5";"5";"7";"4";"1";"5";"6";"5";"6";"7";"2";"7";"7";"4";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"5f628c0feb462421d1a4695dee9f22a5";"1";"0";"1709334464";"2024-03-01 23:07:44";"2024-03-01 23:07:44";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"533";"0";"1";"31";"6888322";"-77";"0";"2";"67";"1";"3";"2";"-99";"1";"4";"Testtext A+T";"5";"2";"7";"7";"4";"3";"4";"4";"4";"1";"7";"2";"7";"2";"2";"5";"1";"1";"6";"2";"4";"2";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"0";"0";"0";"-77";"-77";"0ec0c309d55d044ea5a4f3c688ac6dbb";"1";"0";"1709334465";"2024-03-01 23:07:45";"2024-03-01 23:07:45";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"534";"0";"1";"31";"6888322";"-77";"0";"1";"72";"1";"7";"1";"-99";"3";"-77";"-66";"6";"6";"1";"7";"2";"2";"5";"6";"6";"5";"6";"3";"3";"7";"2";"7";"5";"3";"5";"6";"2";"2";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"1";"1";"0";"-77";"-77";"c35f31b1de88cbdebab4e79529ee1a8c";"1";"0";"1709334466";"2024-03-01 23:07:46";"2024-03-01 23:07:46";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"535";"0";"1";"31";"6888322";"-77";"0";"1";"92";"4";"2";"1";"-99";"1";"2";"-99";"1";"7";"7";"2";"6";"3";"7";"4";"7";"2";"5";"7";"5";"6";"6";"3";"2";"3";"3";"1";"4";"2";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"1";"1";"0";"-77";"-77";"f7f6663fdb7375b85f4e7548c20780a5";"1";"0";"1709334467";"2024-03-01 23:07:47";"2024-03-01 23:07:47";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"536";"0";"1";"31";"6888322";"-77";"0";"3";"44";"2";"7";"2";"-99";"3";"-77";"-66";"5";"7";"1";"2";"4";"4";"4";"1";"3";"4";"5";"3";"1";"3";"7";"1";"3";"5";"2";"4";"2";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"9d795432541d5ba0b96ac1f343c617e1";"1";"0";"1709334468";"2024-03-01 23:07:48";"2024-03-01 23:07:48";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
